personId,playerName,games_played,avg_minutes,avg_fga,avg_fgm,fg_pct,ts_pct,net_rating,pie,usg_pct,pct_ast,pct_reb,impact_score,predicted_pie,playerName_key,playerName_shooting,team,pos,games,minutes,fg_pct_total,avg_shot_distance,freq_rim,freq_short_paint,freq_mid,freq_long_mid,freq_3p,fg_rim,fg_short_paint,fg_mid,fg_long_mid,fg_3p,defensive_profile,most_taken_shot,best_made_shot,scorer_profile,profile_description,defensive_description,rk,playerName_pbp,age_pbp,team_pbp,pos_pbp,games_pbp,games_started_pbp,minutes_pbp,pg_pct,sg_pct,sf_pct,pf_pct,c_pct,on_court_per_100,on_off_per_100,bad_pass_turnovers,lost_ball_turnovers,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,points_generated_by_assists,and_ones,shots_blocked_against,awards,scoring_value,offensive_creation,lineup_defensive_impact,spacing_value,playmaking_value,rebounding_value,rim_size_value,offense_scaled,defense_scaled,spacing_scaled,playmaking_scaled,rebounding_scaled,lineup_score,lineup_role,headshot_url
204456,T.J. McConnell,38,17.05526315789474,8.31578947368421,4.394736842105263,0.5159473684210527,0.5480789473684211,-9.444736842105263,0.15513157894736843,0.23342105263157897,0.5168684210526315,0.16097368421052632,5.976210526315789,0.103920807937107,tj mcconnell,T.J. McConnell,IND,PG,56.0,963.0,0.538,11.7,0.144,0.278,0.318,0.149,0.111,0.723,0.52,0.545,0.537,0.32,Disruptive Defender,mid-range,at the rim,Mid-Range Shot Creator,"T.J. McConnell profiles as a mid-range shot creator. They regularly look for shots from mid-range, while making shots most consistently at the rim. On the defensive side, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",288.0,T.J. McConnell,33.0,IND,PG,56.0,4.0,963.0,100.0,0.0,0.0,0.0,0.0,-6.8,1.2,35.0,21.0,38.0,1.0,15.0,22.0,719.0,5.0,23.0,,8.789473684210526,727.7894736842105,0.22829210526315788,0.111,719.0,0.16097368421052632,0.0,0.43408269193962595,0.5793613894970778,0.11586638830897704,0.43444108761329303,0.2821652409359122,0.40751401525138686,Guard,
1626145,Tyus Jones,48,15.708333333333334,3.2916666666666665,1.125,0.28281249999999997,0.36793750000000003,-12.1625,0.058020833333333334,0.09316666666666668,0.2957916666666667,0.08337499999999999,2.5542083333333334,0.026383520602641083,tyus jones,Tyus Jones,3TM,PG,67.0,979.0,0.349,19.1,0.05,0.193,0.092,0.037,0.628,0.455,0.429,0.5,0.375,0.292,Disruptive Defender,three-point range,mid-range,Balanced Player,"Tyus Jones profiles as a balanced player. Their most common shot comes three-point range, and they make shots most consistently mid-range. On defense, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",282.0,Tyus Jones,29.0,3TM,PG,67.0,12.0,979.0,100.0,0.0,0.0,0.0,0.0,-6.2,-7.7,21.0,3.0,16.0,1.0,5.0,3.0,383.0,1.0,8.0,,2.25,385.25,-1.1299875,0.628,383.0,0.08337499999999999,0.0,0.2295741139435167,0.32978862810847065,0.6555323590814196,0.23141993957703927,0.0913096946095511,0.30487961988539636,Guard,
1626156,D'Angelo Russell,26,19.04230769230769,8.923076923076923,3.6153846153846154,0.36738461538461537,0.4776153846153846,-7.1230769230769235,0.08465384615384616,0.24396153846153845,0.42123076923076924,0.14092307692307693,4.455961538461539,0.09006132014415377,dangelo russell,D'Angelo Russell,DAL,PG,26.0,495.0,0.405,17.3,0.086,0.194,0.159,0.078,0.483,0.65,0.511,0.486,0.389,0.295,Disruptive Defender,three-point range,at the rim,On-Ball Creator,"D'Angelo Russell profiles as an on-ball creator. They combine scoring volume with creation stats, meaning they likely generate offense for themselves and others. Defensively, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",382.0,D'Angelo Russell,29.0,DAL,PG,26.0,3.0,495.0,77.0,23.0,0.0,0.0,0.0,-5.1,0.8,36.0,11.0,20.0,2.0,21.0,4.0,247.0,0.0,5.0,,7.230769230769231,254.23076923076923,0.16227692307692307,0.483,247.0,0.14092307692307693,0.0,0.1513508473326106,0.567231640034633,0.5041753653444676,0.14924471299093656,0.2328503634099043,0.3161840613834567,Guard,
1626157,Karl-Anthony Towns,48,31.46875,14.0625,6.541666666666667,0.452625,0.5833958333333333,7.147916666666667,0.14604166666666665,0.24950000000000003,0.15775,0.39822916666666663,6.729395833333333,0.12204293799138619,karlanthony towns,Karl-Anthony Towns,NYK,C,75.0,2322.0,0.501,10.8,0.408,0.224,0.034,0.037,0.297,0.632,0.481,0.486,0.263,0.368,Rim Protector,at the rim,at the rim,High-Impact Balanced Player,"Karl-Anthony Towns profiles as a balanced player. Their most common shot comes at the rim, and they make shots most consistently at the rim. On defense, they profile as a Rim Protector.",Protects the basket with shot blocking and interior presence. This player is most valuable defensively near the rim.,34.0,Karl-Anthony Towns,30.0,NYK,C,75.0,75.0,2322.0,0.0,0.0,0.0,0.0,100.0,7.0,0.4,50.0,59.0,119.0,65.0,210.0,6.0,520.0,56.0,73.0,AS,13.083333333333334,533.0833333333334,0.17946874999999998,0.297,520.0,0.39822916666666663,100.0,0.31783601396703637,0.570390497534872,0.31002087682672236,0.31419939577039274,0.8656999385119901,0.4342250949227792,Big,
1626162,Kelly Oubre Jr.,29,32.4448275862069,10.620689655172415,5.103448275862069,0.44710344827586207,0.5587586206896552,0.7586206896551727,0.07417241379310345,0.16686206896551725,0.09382758620689656,0.16393103448275861,4.908793103448276,0.09361684071165871,kelly oubre jr,Kelly Oubre Jr.,PHI,SF,50.0,1574.0,0.467,14.1,0.224,0.244,0.075,0.017,0.439,0.689,0.504,0.293,0.556,0.36,Disruptive Defender,three-point range,at the rim,Perimeter Shooter,"Kelly Oubre Jr. is a perimeter shooter. Their shot profile is built around three-point range, with their best efficiency coming at the rim. Defensively, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",151.0,Kelly Oubre Jr.,30.0,PHI,SF,50.0,41.0,1574.0,0.0,2.0,75.0,23.0,0.0,-1.6,-2.3,26.0,26.0,63.0,5.0,74.0,20.0,184.0,20.0,33.0,,10.206896551724139,194.20689655172413,-0.2958206896551724,0.439,184.0,0.16393103448275861,0.0,0.11551440280438725,0.4830599527383878,0.4582463465553236,0.11117824773413898,0.2894389042412591,0.2757694164871902,Wing,
1626164,Devin Booker,41,33.99268292682927,18.390243902439025,8.390243902439025,0.4596585365853659,0.5858048780487805,4.795121951219512,0.14097560975609758,0.3023170731707317,0.3625609756097561,0.1284390243902439,7.413268292682927,0.14105878008710165,devin booker,Devin Booker,PHO,SG,64.0,2146.0,0.456,15.3,0.138,0.169,0.235,0.149,0.309,0.673,0.468,0.48,0.464,0.33,Disruptive Defender,three-point range,at the rim,Mid-Range Shot Creator,"Devin Booker profiles as a mid-range shot creator. They regularly look for shots from three-point range, while making shots most consistently at the rim. On the defensive side, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",59.0,Devin Booker,29.0,PHO,SG,64.0,64.0,2146.0,5.0,54.0,38.0,3.0,0.0,4.3,6.1,98.0,80.0,77.0,16.0,220.0,25.0,988.0,56.0,63.0,AS,16.78048780487805,1004.780487804878,0.953531707317073,0.309,988.0,0.1284390243902439,0.0,0.5994564452365707,0.7126182310572533,0.3225469728601253,0.5969788519637462,0.20214558161158575,0.5462316251454936,Guard,
1626167,Myles Turner,48,28.547916666666666,9.791666666666666,4.291666666666667,0.4231875,0.5719583333333333,-2.8645833333333335,0.08625,0.18339583333333334,0.104,0.22814583333333335,4.878500000000001,0.0968748482460988,myles turner,Myles Turner,MIL,C,71.0,1912.0,0.44,18.2,0.152,0.135,0.073,0.046,0.594,0.673,0.448,0.383,0.467,0.383,Rim Protector,three-point range,at the rim,Elite 3PT Threat,Myles Turner profiles as an elite 3PT threat. They consistently take shots from three-point range and are most efficient at the rim. Their defensive profile is Rim Protector.,Protects the basket with shot blocking and interior presence. This player is most valuable defensively near the rim.,93.0,Myles Turner,29.0,MIL,C,71.0,71.0,1912.0,0.0,0.0,0.0,0.0,100.0,-5.9,1.0,26.0,26.0,125.0,20.0,83.0,4.0,261.0,19.0,32.0,,8.583333333333334,269.5833333333333,0.21844375,0.594,261.0,0.22814583333333335,100.0,0.16051688889692975,0.5775518348158191,0.6200417536534447,0.15770392749244713,0.4473765115802419,0.3621090212180123,Big,
1626171,Bobby Portis,48,24.53333333333333,11.1875,5.395833333333333,0.4830833333333333,0.5791875,-8.393749999999999,0.120375,0.2275625,0.12152083333333334,0.31702083333333336,5.886854166666666,0.11216001237275845,bobby portis,Bobby Portis,MIL,PF,67.0,1619.0,0.488,16.3,0.115,0.18,0.151,0.16,0.395,0.698,0.504,0.451,0.433,0.456,Rim Protector,three-point range,at the rim,Mid-Range Shot Creator,"Bobby Portis profiles as a mid-range shot creator. They regularly look for shots from three-point range, while making shots most consistently at the rim. On the defensive side, they profile as a Rim Protector.",Protects the basket with shot blocking and interior presence. This player is most valuable defensively near the rim.,145.0,Bobby Portis,30.0,MIL,PF,67.0,9.0,1619.0,0.0,0.0,8.0,68.0,24.0,-7.9,-2.5,26.0,23.0,63.0,9.0,25.0,1.0,269.0,7.0,22.0,,10.791666666666666,279.7916666666667,-0.27989375,0.395,269.0,0.31702083333333336,24.0,0.1666116367846869,0.4859863975549107,0.4123173277661796,0.16253776435045317,0.6659663865546219,0.3328392683580369,Wing,
1626181,Norman Powell,44,30.775,16.272727272727273,7.7272727272727275,0.4743636363636364,0.61475,2.0250000000000004,0.11738636363636364,0.26343181818181816,0.14552272727272728,0.12168181818181818,6.836454545454545,0.13543372437747164,norman powell,Norman Powell,MIA,SG,58.0,1717.0,0.47,15.4,0.2,0.207,0.087,0.048,0.458,0.654,0.497,0.513,0.372,0.38,Disruptive Defender,three-point range,at the rim,Perimeter Shooter,"Norman Powell is a perimeter shooter. Their shot profile is built around three-point range, with their best efficiency coming at the rim. Defensively, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",130.0,Norman Powell,32.0,MIA,SG,58.0,52.0,1717.0,9.0,87.0,4.0,0.0,0.0,0.5,-3.6,39.0,51.0,53.0,4.0,135.0,2.0,338.0,30.0,51.0,AS,15.454545454545455,353.45454545454544,-0.5034954545454546,0.458,338.0,0.12168181818181818,0.0,0.21059106616250245,0.4449014142875688,0.47807933194154495,0.20422960725075529,0.1855260951387207,0.3061492500670725,Guard,
1626192,Pat Connaughton,22,7.068181818181818,2.0454545454545454,1.0,0.2968636363636364,0.40377272727272734,9.618181818181819,0.11518181818181818,0.134,0.2075909090909091,0.17300000000000001,3.557045454545454,0.041883928451690235,pat connaughton,,,,,,,,,,,,,,,,,,Disruptive Defender,Not enough shooting data,Not enough shooting data,Balanced Player,"Pat Connaughton profiles as a balanced player. Their most common shot comes Not enough shooting data, and they make shots most consistently Not enough shooting data. On defense, they profile as a Disruptive Defender.","Creates defensive pressure with steals, blocks, and activity. This player can force mistakes and break up possessions.",,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,2.0,0.0519,0.0,0.0,0.17300000000000001,0.0,0.0007598646717203697,0.5469507837373403,0.0,0.0,0.3117442098790736,0.1682160627909306,Wing,
